Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
SIRA NO,KIRMIZI ve SERAMİK ÇAMURU HAZIRLAMA MAKİNA LİSTESİ.,Miktar,,Birim,KW,Yerli / İthal,Fiyat,Toplam
1,TARTIMLI PASLANMAZ VİBRO BESLEYİCİLİ BUNKER 10 m3 LÜK,4,,Adet,12,Y,35000,"140,000.00 €"
2,TARTIMLI BUNKER BESLEME BANTI.Z BANT ÇEPLİ,2,,Adet,15,Y,12500,"25,000.00 €"
3,ÇAMUR HAZIRLAMA MİKSERİ SEKİZGEN 10 m3 LÜK 30 KW 1000 d/d YERALTI,4,,Adet,30,Y,20000,"80,000.00 €"
4,"ÇAMUR STOK HAVUZLARI 25 m3 LÜK YER ALTI 5,5 KW YUVARLAK",4,,Adet,22,Y,9000,"36,000.00 €"
5,ÇAMUR ELEĞİ ÇAP 1200 LÜK ÇİFT KATLI PASLANMAZ,2,,Adet,5,Y,6000,"12,000.00 €"
6,ÇAMUR ELEĞİ ÇAP 1000 LİK ÇİFT KATLI PASLANMAZ,2,,Adet,5,Y,5500,"11,000.00 €"
7,ALÜMİNA TUĞLALI DEĞİRMEN 5 m3 LÜK  ( KURU ),2,,Adet,44,Y,36250,72500
8,ÇAMUR ELEME ELEĞİ ÇAP 1000 ÇİFT KATLI PASLANMAZ MIKN. POMPA ARABALI,2,,Adet,5,Y,5500,11000
9,"ÇAMUR SİRKÜLASYON POMPASI ALÜMİNYUM GÖVDE 2"" DİYAFRAMLI",6,,Adet,,Y,2500,"15,000.00 €"
10,"ÇAMUR SİRKÜLASYON POMPASI ALÜMİNYUM GÖVDE 3"" DİYAFRAMLI",2,,Adet,,Y,5000,"10,000.00 €"
11,FİLTERPRES 630 x 630 LÜK POLİÜRETAN 60 PLAKALI ,4,,Adet,3,Y,21000,"84,000.00 €"
12,FİLTERPRES POMPASI PPB-30   6 m3 LÜK KAPASİTELİ,2,,Adet,25,Y,12500,"25,000.00 €"
13,PASLANMAZ VAKUM PRES ÇAP 200 LİK VAKUM POMPALI,1,,Adet,30,Y,45000,"45,000.00 €"
14,PASLANMAZ VAKUM PRES ÇAP 350 LİK VAKUM POMPALI,1,,Adet,55,Y,85000,"85,000.00 €"
15,PASLANMAZ VAKUM PRES ÇAP 500' LÜK VAKUM POMPALI,1,,Adet,115,Y,127250,"127,250.00 €"
16,SUCUK ÇAMUR VE KEK STOK PALETİ METAL 800*1200 mm ,20,,Adet,,Y,400,"8,000.00 €"
17,YER ALTI HIZLI ve YAVAŞ KARIŞTICI ANGRAJLARI,8,,Adet,,Y,2000,"16,000.00 €"
18,TRANSPALET 3 TONLUK ,4,,Adet,,Y,320,"1,280.00 €"
,,,,,,,,
,,,,,366 KW,,TOPLAM,804030
