Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
SIRA NO,SPRAY DRYER KIRMIZI ve SERAMİK GRANÜLÜ HAZ.MAK. LİST.,Miktar,,Birim,KW,Yerli / İthal,Fiyat,Toplam,,
1,SPRAY DRYER 2000 KG/h KAPASİTELİ,2,,Adet,110,Y,354000,"708,000.00 €",,
2,SPRAY DRYER ÇAMUR HAVUZLARI 10 m3 LÜK SEKİZGEN YERALTI,8,,Adet,176,Y,17500,"140,000.00 €",,
3,SPRAY DRYER ÇAMUR HAVUZU 5 m3 LÜK SEKİZGEN PASLANMAZ,2,,Adet,30,Y,32000,"64,000.00 €",,
4,SPRAY DRYER SU ISITMA VE BAĞLAYICI TANKI 2 m3 LÜK PASLANMAZ,2,,Adet,11,Y,17500,"35,000.00 €",,
5,SPRAY DRYER ÇAMUR YAVAŞ KARIŞTIRICI YER ALTI 25 m3 LÜK 12 d/d,6,,Adet,33,Y,9000,"54,000.00 €",,
6,ÇAMUR POMPASI PPB-30   6m3/h KAPASİTELİ,2,,Adet,22,Y,12500,"25,000.00 €",,
7,ÇAMUR ELEĞİ ÇAP 1200 LÜK ÇİFT KATLI PASLANMAZ,2,,Adet,6,Y,6000,"12,000.00 €",,
8,ALÜMİNYUM DİKDÖRTGEN ELEK 650*900 ÇİFT KATLI,4,,Adet,6,Y,4500,"18,000.00 €",,
9,SPRAY DRYER GRNÜL STOK BUNKERİ 5 m3 LÜK,2,,Adet,6,Y,4000,"8,000.00 €",,
10,"SPRAY DRYER GRANÜL KONVEYÖR BANTI CEPLİ YAKLAŞIK 7,5 M",2,,Adet,15,Y,12500,"25,000.00 €",,
11, AKÜLÜ  İSTİF TRANSPALETİ LİNDE L16,1,,Adet,,Y,21000,"21,000.00 €",,
12,İŞLETME ROBOTİK JET FİLTRE 2000 m3'Lük,5,,Adet,25,Y,4750,"23,750.00 €",,
13,"ÇAMUR SİRKÜLASYON POMPALARI ALÜMİNYUM GÖVDE 2"" DİYAFRAMLI",6,,Adet,,Y,2500,"15,000.00 €",,
14,SPRAY DRYER ANA PANOSU ODASI İÇİN KLİMA 24000 LİK,2,,Adet,3,Y,5000,"10,000.00 €",,
15,GRANÜL STOK PALETİ METAL 800*1200mm STARBETO LU,20,,Adet,,Y,400,"8,000.00 €",,
16,TRANSPALET 3 TONLUK ,4,,Adet,,Y,320,"1,280.00 €",,
17,YER ALTI HIZLI ve YAVAŞ KARIŞTICI ANGRAJLARI,10,,Adet,,Y,2000,"20,000.00 €",,
18,BASINÇLI YIKAMA MAKİNASI  ROTTES,,2.0,Adet,2,Y,1500,3000,,
19,KÖPRÜLÜ TAVAN VİNÇİ 3TON'Luk,8,,Adet,40,Y,14000,"112,000.00 €",,
,,,,,485KW,,TOPLAM,"1,303,030.00 €",,
,,,,,,,,,,10.0
