MF CEZAYİR SERAMİK FABRİKASI MALİYET ÇALIŞMASI.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
SIRA NO,YARDIMCI TESİSLER VE MAKİNA LİSTESİ,Miktar,,Birim,KW,Yerli / İthal,Fiyat,Toplam
1,TRAFO HÜCRE TİPİ 2000 KVA,1,,Adet,,Y,,0.00 €
2,ANA PANO - TAHLİ PANOLAR - KOMPANZASYON - AYDINLATMA,1,,Adet,10,Y,,0.00 €
3,JENERATÖR KOMPLE TESİS İÇİN 500 KVA,1,,Adet,,Y,50000,"50,000.00 €"
4,"KOMPRESÖR 132KW, 90 KW DEĞİŞKEN DEBİLİ, 3m3 HAVA TANKI ",2,,Tk.,222,Y,52500,"105,000.00 €"
5,"DOĞALGAZ İSTASYONU ÇİFT ÇIKIŞLI 600 m3/h ,1;BARLIK",1,,Adet,4,Y,40000,"40,000.00 €"
6,İŞLETME SU DEPOSU 1000 m3 LÜK 6 BAR POMPALI SİSTEMLİ,1,,Adet,15,Y,,0.00 €
7,ÇÖKTÜRME HAVUZLARI VE FİLTERPRES SİSTEMİ                                         3X5X4 METRE 4 ADET POMPALI OLACAK. 500*500 40 PLAKALI PPB 30 POMPALI,1,,Adet,45,Y,,0.00 €
,,,,,,,,
8,"KOMPLE HAVA , SU , DOĞAL GAZ, YANGIN TESİSATI VE ELEKTRİK TESİSATI",1,,Adet,,Y,,0.00 €
9,KOMPLE HAVALANDIRMA SİSTEMİ EVERATİV SOĞUTUCULAR,10,,Adet,25,Y,10000,"100,000.00 €"
10,"KOMPLE TOZSUZLAŞTIRMA SİSTEMİ ,JET FİLTRE 25000m3Lük,BORULAMASI",3,,Adet,30,Y,50000,"150,000.00 €"
11,İŞLETME ROBOTİK JET FİLTRE 2000 m3'Lük,5,,Adet,25,Y,4750,"23,750.00 €"
12,KANTAR 16Mt. 80 TON'luk,1,,Adet,2,Y,20000,"20,000.00 €"
13,ELEKTRİKLİ FORKLİFT EG30,1,,Adet,,İ,46000,"46,000.00 €"
14,YÜKLEME RAMPASI 10 TON'luk HİDROLİK,2,,Adet,1,Y,4000,"8,000.00 €"
15,"KAMARA ve YANGIN ALARM SİSTEMİ; İŞLET ,İDARİ BİNA ve FABRİKA ÇEVRESİ ",1,,Tk.,,Y,,
16,"FABRİKA ÜRETİM ALANI; Boy:127.5 mt., En:80 mt.,Yükseklik:7 mt. ÇELİK KONSTR.",1,,Adet,,,,
17,"FABRİKA SIR HAZIRLAM; Boy:22.5 mt., En:24 mt., Yükseklik:10 mt. ÇELİK KONST.",1,,Adet,,,,
18,"FABRİKA HAMMADDE HAZ; Boy:22.5 mt.,En:36.5 mt.,Yükseklik:10 mt. ÇELİK KON",1,,Adet,,,,
19,"FABRİKA İDARİ BİNA BETONARME ; Boy:80 mt:, En:12 mt:, Yükseklik 10 mt. 3Katlı",1,,Adet,,,,
,,,,,,,,
,,,,,379 KW,,TOPLAM,542750
